run_id,training_seed,samples,accuracy,macro_f1,raw_errors,severity_family,severity_value
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,1.0,1.0,0,blur,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,1.0,1.0,0,blur,0.7
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,0.9935691318327974,0.9914255091103967,2,blur,1.4
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,0.8810289389067524,0.8485530546623794,37,blur,2.1
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,0.6881028938906752,0.629685837563651,97,blur,2.8
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,1.0,1.0,0,cutout_center,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,1.0,1.0,0,cutout_center,0.125
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,1.0,1.0,0,cutout_center,0.25
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,1.0,1.0,0,cutout_center,0.375
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,1.0,1.0,0,cutout_center,0.5
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,1.0,1.0,0,gaussian_noise,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,0.9967845659163987,0.9957127545551981,1,gaussian_noise,6.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,0.9967845659163987,0.9957127545551981,1,gaussian_noise,12.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,0.9871382636655949,0.982851018220793,4,gaussian_noise,18.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,0.9389067524115756,0.9225080385852089,19,gaussian_noise,24.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,311,1.0,1.0,0,rotation,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,622,1.0,1.0,0,rotation,5.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,622,1.0,1.0,0,rotation,10.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,622,1.0,1.0,0,rotation,15.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train1_split1_aug1,1,622,1.0,1.0,0,rotation,20.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,1.0,1.0,0,blur,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,1.0,1.0,0,blur,0.7
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,0.9871382636655949,0.982851018220793,4,blur,1.4
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,0.8971061093247589,0.8685959271168274,32,blur,2.1
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,0.6945337620578779,0.63758701105968,95,blur,2.8
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,1.0,1.0,0,cutout_center,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,1.0,1.0,0,cutout_center,0.125
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,1.0,1.0,0,cutout_center,0.25
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,1.0,1.0,0,cutout_center,0.375
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,1.0,1.0,0,cutout_center,0.5
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,1.0,1.0,0,gaussian_noise,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,0.9967845659163987,0.9957127545551981,1,gaussian_noise,6.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,0.9967845659163987,0.9957127545551981,1,gaussian_noise,12.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,0.9871382636655949,0.982851018220793,4,gaussian_noise,18.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,0.9260450160771704,0.9058949624866024,23,gaussian_noise,24.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,311,1.0,1.0,0,rotation,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,622,1.0,1.0,0,rotation,5.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,622,1.0,1.0,0,rotation,10.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,622,1.0,1.0,0,rotation,15.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train2_split1_aug1,2,622,1.0,1.0,0,rotation,20.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,1.0,1.0,0,blur,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,1.0,1.0,0,blur,0.7
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,0.9871382636655949,0.982851018220793,4,blur,1.4
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,0.8778135048231511,0.8473383351196857,38,blur,2.1
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,0.6881028938906752,0.6361247541311851,97,blur,2.8
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,1.0,1.0,0,cutout_center,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,1.0,1.0,0,cutout_center,0.125
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,1.0,1.0,0,cutout_center,0.25
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,1.0,1.0,0,cutout_center,0.375
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,1.0,1.0,0,cutout_center,0.5
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,1.0,1.0,0,gaussian_noise,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,0.9967845659163987,0.9957127545551981,1,gaussian_noise,6.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,0.9967845659163987,0.9957127545551981,1,gaussian_noise,12.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,0.9871382636655949,0.982851018220793,4,gaussian_noise,18.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,0.9260450160771704,0.90734956361966,23,gaussian_noise,24.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,311,1.0,1.0,0,rotation,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,622,1.0,1.0,0,rotation,5.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,622,1.0,1.0,0,rotation,10.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,622,1.0,1.0,0,rotation,15.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train3_split1_aug1,3,622,1.0,1.0,0,rotation,20.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,1.0,1.0,0,blur,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,1.0,1.0,0,blur,0.7
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,0.9903536977491961,0.9871382636655949,3,blur,1.4
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,0.8938906752411575,0.864844587352626,33,blur,2.1
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,0.6913183279742765,0.6328901805589908,96,blur,2.8
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,1.0,1.0,0,cutout_center,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,1.0,1.0,0,cutout_center,0.125
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,1.0,1.0,0,cutout_center,0.25
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,1.0,1.0,0,cutout_center,0.375
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,1.0,1.0,0,cutout_center,0.5
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,1.0,1.0,0,gaussian_noise,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,0.9967845659163987,0.9957127545551981,1,gaussian_noise,6.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,0.9967845659163987,0.9957127545551981,1,gaussian_noise,12.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,0.9839228295819936,0.9785637727759914,5,gaussian_noise,18.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,0.9260450160771704,0.9062165058949624,23,gaussian_noise,24.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,311,1.0,1.0,0,rotation,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,622,1.0,1.0,0,rotation,5.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,622,1.0,1.0,0,rotation,10.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,622,0.9983922829581994,0.9982851018220794,1,rotation,15.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train4_split1_aug1,4,622,1.0,1.0,0,rotation,20.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,1.0,1.0,0,blur,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,1.0,1.0,0,blur,0.7
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,0.9871382636655949,0.982851018220793,4,blur,1.4
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,0.8778135048231511,0.8484994640943194,38,blur,2.1
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,0.6784565916398714,0.6216981360152793,100,blur,2.8
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,1.0,1.0,0,cutout_center,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,1.0,1.0,0,cutout_center,0.125
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,1.0,1.0,0,cutout_center,0.25
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,1.0,1.0,0,cutout_center,0.375
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,1.0,1.0,0,cutout_center,0.5
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,1.0,1.0,0,gaussian_noise,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,0.9967845659163987,0.9957127545551981,1,gaussian_noise,6.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,0.9967845659163987,0.9957127545551984,1,gaussian_noise,12.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,0.9839228295819936,0.9790996784565916,5,gaussian_noise,18.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,0.9389067524115756,0.9234726688102893,19,gaussian_noise,24.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,311,1.0,1.0,0,rotation,0.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,622,1.0,1.0,0,rotation,5.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,622,1.0,1.0,0,rotation,10.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,622,1.0,1.0,0,rotation,15.0
matrix_efficientnetv2b3_paper_random_hardening_v2_train5_split1_aug1,5,622,1.0,1.0,0,rotation,20.0
